SPRINT NO,ISSUEID,ISSUE TYPE,STATE,RELATES TO,ESTIMATED TIME,START DATE,END DATE,COMPLETE DATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
,EG-56,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-57,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-58,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-59,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-60,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:priority
FromString:Highest
ToString:High",,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-61,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-62,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,,"Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-63,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-64,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-65,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-66,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
